Nome estacao,Nr Rack,Area Linha Separaçao,Linha,Coluna,Codigo Material,Conferencia Obrigatoria
RUA 1,1,1,1,A,52052,0
RUA 1,1,1,1,B,90513,0
RUA 1,1,1,1,C,82688,0
RUA 1,1,1,1,D,75792,0
RUA 1,1,1,1,E,,0
RUA 1,1,1,2,A,83059,0
RUA 1,1,1,2,B,51243,0
RUA 1,1,1,2,C,82689,0
RUA 1,1,1,2,D,,0
RUA 1,1,1,2,E,,0
RUA 1,1,1,3,A,49765,0
RUA 1,1,1,3,B,88077,0
RUA 1,1,1,3,C,49812,0
RUA 1,1,1,3,D,,0
RUA 1,1,1,3,E,,0
RUA 1,1,1,4,A,47950,0
RUA 1,1,1,4,B,48664,0
RUA 1,1,1,4,C,82686,0
RUA 1,1,1,4,D,,0
RUA 1,1,1,4,E,,0
RUA 1,1,1,5,A,74438,0
RUA 1,1,1,5,B,48303,0
RUA 1,1,1,5,C,84214,0
RUA 1,1,1,5,D,77745,0
RUA 1,1,1,5,E,,0
RUA 1,1,1,6,A,84387,0
RUA 1,1,1,6,B,54150,0
RUA 1,1,1,6,C,82685,0
RUA 1,1,1,6,D,,0
RUA 1,1,1,6,E,,0
RUA 2,1,1,1,A,48365,0
RUA 2,1,1,1,B,58506,0
RUA 2,1,1,1,C,46898,0
RUA 2,1,1,1,D,47949,0
RUA 2,1,1,1,E,,0
RUA 2,1,1,2,A,49193,0
RUA 2,1,1,2,B,84399,0
RUA 2,1,1,2,C,54457,0
RUA 2,1,1,2,D,83529,0
RUA 2,1,1,2,E,27707,0
RUA 2,1,1,3,A,84392,0
RUA 2,1,1,3,B,84400,0
RUA 2,1,1,3,C,51874,0
RUA 2,1,1,3,D,89816,0
RUA 2,1,1,3,E,76681,0
RUA 2,1,1,4,A,30192,0
RUA 2,1,1,4,B,54231,0
RUA 2,1,1,4,C,54101,0
RUA 2,1,1,4,D,87842,0
RUA 2,1,1,4,E,,0
RUA 2,1,1,5,A,,0
RUA 2,1,1,5,B,90321,0
RUA 2,1,1,5,C,84391,0
RUA 2,1,1,5,D,76678,0
RUA 2,1,1,5,E,,0
RUA 2,1,1,6,A,56402,0
RUA 2,1,1,6,B,84385,0
RUA 2,1,1,6,C,84388,0
RUA 2,1,1,6,D,87898,0
RUA 2,1,1,6,E,,0
RUA 3,1,1,1,A,53901,0
RUA 3,1,1,1,B,46894,0
RUA 3,1,1,1,C,84049,0
RUA 3,1,1,1,D,,0
RUA 3,1,1,1,E,,0
RUA 3,1,1,2,A,56669,0
RUA 3,1,1,2,B,90812,0
RUA 3,1,1,2,C,90805,0
RUA 3,1,1,2,D,,0
RUA 3,1,1,2,E,,0
RUA 3,1,1,3,A,86431,0
RUA 3,1,1,3,B,86169,0
RUA 3,1,1,3,C,79374,0
RUA 3,1,1,3,D,,0
RUA 3,1,1,3,E,,0
RUA 3,1,1,4,A,53779,0
RUA 3,1,1,4,B,86028,0
RUA 3,1,1,4,C,86206,0
RUA 3,1,1,4,D,,0
RUA 3,1,1,4,E,,0
RUA 3,1,1,5,A,94440,0
RUA 3,1,1,5,B,90820,0
RUA 3,1,1,5,C,56841,0
RUA 3,1,1,5,D,86464,0
RUA 3,1,1,5,E,,0
RUA 3,1,1,6,A,86432,0
RUA 3,1,1,6,B,44803,0
RUA 3,1,1,6,C,90813,0
